Date,Open,High,Low,Close,Volume,MACD,RSI SMA,RSI EWMA,Daily Change,5 Day Change
2015-12-30,108.580002,108.699997,107.18,107.32,25213800,-2.466820457,-171.9243041,-166.5114902,-0.013058654,0.000839289
2015-12-31,107.010002,107.029999,104.82,105.260002,40635300,-2.599670273,-75.65795295,-68.53022576,-0.019194912,-0.030844296
2016-01-04,102.610001,105.370003,102,105.349998,67649400,-2.666949847,-129.2007862,-73.99720842,0.000854988,-0.024807933
2016-01-05,105.75,105.849998,102.410004,102.709999,55791000,-2.899867383,-141.2649096,-34.20956669,-0.025059317,-0.03847595
2016-01-06,100.559998,102.370003,99.870003,100.699997,68457400,-3.209647751,-51.1310625,-22.80102496,-0.019569682,-0.073937844
2016-01-07,98.68,100.129997,96.43,96.449997,81094400,-3.754807324,-31.44703259,-12.24651992,-0.042204569,-0.101285902
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,-4.0984529,-21.63086324,-20.42218576,0.005287735,-0.078852393
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,-4.195742706,-43.05258947,-65.88197147,0.016192244,-0.064736584
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,-4.110078107,-80.46640226,-186.1265945,0.014513346,-0.026774414
2016-01-13,100.32,101.190002,97.300003,97.389999,62439600,-4.201137717,-31.71804685,-71.80092252,-0.025710284,-0.032869892
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,-4.054690132,-73.46145893,-354.7431106,0.021870808,0.031829965
2016-01-15,96.199997,97.709999,95.360001,97.129997,79010000,-4.084399971,-70.47961225,-108.8633482,-0.024015274,0.00175328
2016-01-19,98.410004,98.650002,95.5,96.660004,53087700,-4.098623361,-64.90223123,-93.31746468,-0.004838804,-0.018978941
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,-4.052688954,-97.46619847,-103.1233234,0.001344889,-0.031712665
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,-4.009604127,-131.1364743,-83.58985857,-0.005062486,-0.011192073
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,-3.521722066,219.1144831,229.3736913,0.053167132,0.01909165
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,-3.257293099,418.5474776,1180.700899,-0.019522738,0.023782612
